Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Kazakhstan,Germany,Import,  All Products,Import (US$ Thousand),196563.05,197596.455,367457.516,363681.403,279532.001,335521.3,485532.5,585990.2,733721.4,1052846.55,1298831.194,1809161.823,2585746.942,2572046.189,2041858.581,1828200.053,2082011.298,2270489.5,2455185.026,2314623.938,1985981.596,1443520.795,1485122.975,1639990.57,1495204.314,1832220.883,1814829.686
Kazakhstan,Ghana,Import,  All Products,Import (US$ Thousand),,,1.1,69.1,523.497,910.7,1594,2083.4,5605.8,8176.282,10064.054,13258.502,13682.515,17568.308,20141.845,19988.665,25395.947,26281.9,35029.438,38286.645,15691.749,28585.179,21975.93348,21065.4684,19524.82435,24096.76994,19846.053
Kazakhstan,Gibraltar,Import,  All Products,Import (US$ Thousand),109.399,,350.9,,179.9,206.7,11.5,644.8,484.1,1280.281,284.618,435.321,1311.001,1065.51,317.504,504.108,13.796,0.8,52.088,35.033,,8.414,15.4498,23.95814,20.56655,50.06888,1.59862
Kazakhstan,Greece,Import,  All Products,Import (US$ Thousand),2201.873,15297.666,17210.27,4882.86,5343.581,2213.4,63296.9,14276.3,5641.1,8702.876,8290.26,9067.589,16320.338,17650.049,12486.044,16772.171,16110.249,17933.7,19549.252,42850.513,18970.703,13212.567,16587.01317,19487.39909,18320.17331,20846.75848,24809.27031
Kazakhstan,Greenland,Import,  All Products,Import (US$ Thousand),,98.599,,,,,24.5,,0.7,7.285,42.422,52.064,28.316,15.951,12.82,,5.583,41.5,0.187,5.83,,,,,,,385.94364
Kazakhstan,Grenada,Import,  All Products,Import (US$ Thousand),,,,,,,,2.3,,60.624,0.002,0.088,18.012,0.003,,1.514,,,0.137,,0.066,0.146,,,,,
Kazakhstan,Guam,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,131.597,0.255,,95.077,,0.107,,,,,35.41275,0.11678,,2.1336
Kazakhstan,Guatemala,Import,  All Products,Import (US$ Thousand),,,,,1.399,7490.1,27209.2,4545.5,9559.7,2955.912,7473.481,8.835,14130.421,136.714,97.182,87.015,97.822,84.5,98.967,40908.852,16571.36,22758.038,19811.40991,94.00924,91.4269,247.16957,215.22617
Kazakhstan,Guinea,Import,  All Products,Import (US$ Thousand),,1.1,6.8,,9.1,0.3,115.1,2.3,,13.803,0.3,3.061,,69.679,,,,1.9,,,0.875,0.038,16.94287,7.439,0.17521,,0.03746
Kazakhstan,Guinea-Bissau,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,50.429,0.039,,,,,,0.169,,,,0.29349,,,,
Kazakhstan,Guyana,Import,  All Products,Import (US$ Thousand),,,,,0.699,17.9,19.4,8.3,25.1,,,4.863,2.521,2.129,1.973,9.133,13.982,39.1,48.385,16.831,0.2,1.506,1.91306,0.65636,0.47395,0.08482,
Kazakhstan,Haiti,Import,  All Products,Import (US$ Thousand),,,,,,,,0.5,,,,0.085,5.367,0.544,0.141,2.374,7.166,1.9,17.254,5.555,45.857,4.733,21.93835,11.71774,0.0226,0.66677,0.88878
Kazakhstan,Heard Island and McDonald Isla,Import,  All Products,Import (US$ Thousand),,,,,,13,,,,,,,,,,,,,,,,,,,,0.01031,
Kazakhstan,Holy See,Import,  All Products,Import (US$ Thousand),,,,,,,,,,7.668,,,,,,1.451,16.451,,,0.733,,,0.0325,,,2.23023,
Kazakhstan,Honduras,Import,  All Products,Import (US$ Thousand),,202.3,,67.198,5.699,28.3,0.4,9.8,1.9,0.7,21.43,19.871,27.237,20.331,26.399,48.31,23.76,34.7,91.679,36.347,83.778,32.518,18.99067,43.05978,38.42164,8.69863,83.15479
Kazakhstan,"Hong Kong, China",Import,  All Products,Import (US$ Thousand),4840.66,943.875,1217.778,1364.779,1309.391,1008.1,595.9,179.9,759.7,2135.47,4995.671,6995.547,3579.048,4605.326,2422.067,3579.378,1605.635,1000.8,7569.133,11220.423,7705.868,9107.484,7231.72507,12418.81436,3966.3703,19924.26861,15363.82144
Kazakhstan,Hungary,Import,  All Products,Import (US$ Thousand),21107.285,34751.575,53144.176,50096.433,35585.146,25919.1,32541.2,38924.6,42173.1,58003.464,69555.136,84742.315,122593.796,150611.532,99486.789,127716.254,164318.58,143731.4,144226.941,136895.048,86613.2,98909.402,117272.5081,112995.5087,91647.68868,103163.0435,123261.6926
Kazakhstan,Iceland,Import,  All Products,Import (US$ Thousand),186.6,9.4,240.096,96.698,55.789,96,258.6,600.2,591.2,1242.488,967.442,2664.093,1709.282,998.227,1051.418,4051.121,4066.74,3075.1,4574.179,2879.369,2673.258,2377.768,4377.9982,5862.9166,4029.94785,2970.84844,7579.04793
Kazakhstan,India,Import,  All Products,Import (US$ Thousand),14154.279,17357.179,19864.682,35492.956,30555.158,45870.8,44950.6,55139.4,73032.1,86019.448,100944.045,150569.09,147647.428,203825.894,157294.89,196800.683,243144.166,336170,351639.034,259875.767,241773.919,203810.665,212514.8966,242856.6558,292585.2695,383473.09,377839.1428
Kazakhstan,Indonesia,Import,  All Products,Import (US$ Thousand),63,1266.899,315.097,1888.584,1430.888,2248.5,3034,4071.9,11037.1,12202.024,22402.776,22114.777,33524.087,37440.164,33747.067,23500.625,27217.263,37319.4,40564.956,35059.544,31027.005,17414.609,43255.27808,122499.006,276238.0599,36539.80596,39978.01018
Kazakhstan,"Iran, Islamic Rep.",Import,  All Products,Import (US$ Thousand),13819.838,6026.842,8879.528,9416.441,7797.218,13293.2,10950.2,12354.9,12802.7,12987.276,14791.475,21618.252,44357.273,58869.823,24136.23,26407.353,34902.752,51181,83687.759,93841.977,69775.438,45565.48,68068.56749,89668.45004,81546.59988,109597.4734,165559.4317
Kazakhstan,Iraq,Import,  All Products,Import (US$ Thousand),3.899,,,,,,2,,,19.418,,0.108,,2.49,2.3,0.075,1.117,9.8,0.831,,2.917,1.858,,,,44.8368,21.92617
