"biogeographic_region","Year","Reporter Name","Dollars"
"S.Cone.Pacific",1996,"Europe & Central Asia",98933775.9775474
"SE.Asia",1996,"Europe & Central Asia",118421343.215742
"Subsaharan.Africa",1996,"Europe & Central Asia",52007154.4727654
"North America",1996,"Europe & Central Asia",335906184.473687
"Amazonia",1997,"Europe & Central Asia",46945505.3395351
"Arabia.Sahara",1997,"Europe & Central Asia",51994727.0795266
"C.America",1997,"Europe & Central Asia",14483089.2228277
"Carribbean",1997,"Europe & Central Asia",5953431.77141326
"Eurasian.Palearctic",1997,"Europe & Central Asia",2566753329.71469
"Iberia.N.Africa",1997,"Europe & Central Asia",212698302.55093
"Middle.East",1997,"Europe & Central Asia",58647857.3172529
"N.Pacific",1997,"Europe & Central Asia",188327661.772694
"S.Cone.Pacific",1997,"Europe & Central Asia",100406155.20842
"SE.Asia",1997,"Europe & Central Asia",125015530.608171
"Subsaharan.Africa",1997,"Europe & Central Asia",49367816.7463201
"North America",1997,"Europe & Central Asia",361254477.014667
"Amazonia",1998,"Europe & Central Asia",45463930.9141306
"Arabia.Sahara",1998,"Europe & Central Asia",37979833.0789275
"C.America",1998,"Europe & Central Asia",15414017.3943841
"Carribbean",1998,"Europe & Central Asia",5325000.72094412
"Eurasian.Palearctic",1998,"Europe & Central Asia",2662773325.24344
"Iberia.N.Africa",1998,"Europe & Central Asia",219211247.604967
"Middle.East",1998,"Europe & Central Asia",51488822.7280791
"N.Pacific",1998,"Europe & Central Asia",203106103.269904
"S.Cone.Pacific",1998,"Europe & Central Asia",101806581.375655
"SE.Asia",1998,"Europe & Central Asia",133212961.749198
"Subsaharan.Africa",1998,"Europe & Central Asia",45578393.03755
"North America",1998,"Europe & Central Asia",372989808.250061
"Amazonia",1999,"Europe & Central Asia",45507350.2020044
"Arabia.Sahara",1999,"Europe & Central Asia",37551897.5481438
"C.America",1999,"Europe & Central Asia",16790508.9492796
"Carribbean",1999,"Europe & Central Asia",5246887.29458058
"Eurasian.Palearctic",1999,"Europe & Central Asia",3008888825.0183
"Iberia.N.Africa",1999,"Europe & Central Asia",224311972.384665
"Middle.East",1999,"Europe & Central Asia",59483559.3324522
"N.Pacific",1999,"Europe & Central Asia",213568138.966306
"S.Cone.Pacific",1999,"Europe & Central Asia",103082411.244388
"SE.Asia",1999,"Europe & Central Asia",150688349.691923
"Subsaharan.Africa",1999,"Europe & Central Asia",49957847.887809
"North America",1999,"Europe & Central Asia",377692420.277534
"Amazonia",2000,"Europe & Central Asia",51031877.0427046
"Arabia.Sahara",2000,"Europe & Central Asia",57203952.6177075
"C.America",2000,"Europe & Central Asia",20051137.4447704
"Carribbean",2000,"Europe & Central Asia",5556616.03393457
