"Pathogen.Species","Geographic.Origin.Cluster","Invaded.Range.Cluster"
"Erysiphe australiana","SE.Asia","Australia"
"Erysiphe euonymi-japonici","N.Pacific","Australia"
"Phytophthora palmivora","SE.Asia","Australia"
"Podosphaera tridactyla","SE.Asia","Australia"
"Valsa ceratosperma","SE.Asia","Australia"
"Cumminsiella mirabilissima","W.North.America","Australia"
"Erysiphe necator","NE.North.America","Australia"
"Monilinia fructicola","NE.North.America","Australia"
"Botryosphaeria stevensii","Eurasian.Palearctic","Australia"
"Diplodia africana","Subsaharan.Africa","Australia"
"Diplodia sapinea","Eurasian.Palearctic","Australia"
"Ilyonectria macrodidyma","C.America","Australia"
"Melampsora laricis-populina","Eurasian.Palearctic","Australia"
"Neofusicoccum australe","S.Cone.Pacific","Australia"
"Peronospora sparsa","Amazonia","Australia"
"Phyllosticta concentrica","Eurasian.Palearctic","Australia"
"Phytophthora boehmeriae","S.Cone.Pacific","Australia"
"Phytophthora multivora","Subsaharan.Africa","Australia"
"Septoria betulae","Eurasian.Palearctic","Australia"
"Teratosphaeria eucalypti","S.Cone.Pacific","Australia"
