"group","latent","lhs","op","rhs","est","se","pvalue"
"hi","barrier","NMDS.Distance","~1","",0.704685806357268,0.282798778183839,0.0127087700062529
"hi","barrier","log_numexotics","~1","",0.230533646974373,0.184008132788465,0.210262165019811
"hi","barrier","logNumber.of.pests","~1","",0.345478962033974,1.59224344312785,0.828226877944977
"hi","barrier","root4_trade","~1","",-1.47192078284831,0.0371493830886677,0
"hi","barrier","Climate.Distance","r2","Climate.Distance",-0.369367478198834,NA,NA
"hi","barrier","NMDS.Distance","r2","NMDS.Distance",-0.0106482471062306,NA,NA
"hi","barrier","log_numexotics","r2","log_numexotics",-0.0148883592123963,NA,NA
"hi","barrier","logNumber.of.pests","r2","logNumber.of.pests",-0.499054931304741,NA,NA
"eu","barrier","establishment_barrier","=~","Climate.Distance",1,0,NA
"eu","barrier","establishment_barrier","=~","NMDS.Distance",0.03678121885328,0.0992292687935337,0.710884044796402
"eu","barrier","establishment_barrier","=~","log_numexotics",-0.0926088002608639,0.230716053339947,0.688127638904507
"eu","barrier","logNumber.of.pests","~","establishment_barrier",-0.140950682914369,0.339758943515939,0.678248083144142
"eu","barrier","logNumber.of.pests","~","root4_trade",0.631347284063686,0.216380486730907,0.00352550600178358
"eu","barrier","NMDS.Distance","~~","root4_trade",-0.188097010713395,0.147528235050821,0.202312814353825
"eu","barrier","NMDS.Distance","~~","log_numexotics",-0.0615517325376842,0.12493086119208,0.622234209616248
"eu","barrier","Climate.Distance","~~","Climate.Distance",-3.04009558432015,9.0676544520852,0.737422829735854
"eu","barrier","NMDS.Distance","~~","NMDS.Distance",0.626353101672903,0.234844957008394,0.00765107287260958
"eu","barrier","log_numexotics","~~","log_numexotics",0.391134917241539,0.166361123762128,0.018717011074632
"eu","barrier","logNumber.of.pests","~~","logNumber.of.pests",0.617352352150707,0.293902077456706,0.0356815803173163
"eu","barrier","root4_trade","~~","root4_trade",0.442571113792798,0.167276157793801,0.00815097159350264
"eu","barrier","establishment_barrier","~~","establishment_barrier",4.0600670086961,8.92918553492614,0.649327792756474
"eu","barrier","Climate.Distance","~1","",-0.0549049821169453,0.269916842270243,0.838811117729465
"eu","barrier","NMDS.Distance","~1","",-0.589635724365878,0.212442563002519,0.00551157897227372
"eu","barrier","log_numexotics","~1","",0.751175492809378,0.17442878916837,1.65866899857203e-05
"eu","barrier","logNumber.of.pests","~1","",0.0355774881600104,0.270803612726717,0.89547672612594
"eu","barrier","root4_trade","~1","",0.708105708796375,0.177798263247342,6.81551890966414e-05
"eu","barrier","Climate.Distance","r2","Climate.Distance",NA,NA,NA
"eu","barrier","NMDS.Distance","r2","NMDS.Distance",0.00869309317642719,NA,NA
"eu","barrier","log_numexotics","r2","log_numexotics",0.0817472872250382,NA,NA
"eu","barrier","logNumber.of.pests","r2","logNumber.of.pests",0.293988621547083,NA,NA
"au","barrier","establishment_barrier","=~","Climate.Distance",1,0,NA
"au","barrier","establishment_barrier","=~","NMDS.Distance",-0.63125056997829,1.33447712590979,0.636190249725555
