region_id,code,name,island,OBJIDsic,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_ISO,country
770,USA.KY,Kentucky,0,1286,KTY-OO,Kentucky,KTY,78,7,Northern America,USA,United States of America (the)
771,USA.LA,Louisiana,0,1287,LOU-OO,Louisiana,LOU,78,7,Northern America,USA,United States of America (the)
772,USA.MA,Massachusetts,0,1288,MAS-OO,Masachusettes,MAS,75,7,Northern America,USA,United States of America (the)
773,USA.MD,Maryland,0,1289,MRY-OO,Maryland,MRY,78,7,Northern America,USA,United States of America (the)
774,USA.ME,Maine,0,1290,MAI-OO,Maine,MAI,75,7,Northern America,USA,United States of America (the)
775,USA.MI,Michigan,0,1291,MIC-OO,Michigan,MIC,75,7,Northern America,USA,United States of America (the)
776,USA.MN,Minnesota,0,1292,MIN-OO,Minnesota,MIN,74,7,Northern America,USA,United States of America (the)
777,USA.MO,Missouri,0,1293,MSO-OO,Missouri,MSO,74,7,Northern America,USA,United States of America (the)
778,USA.MS,Mississippi,0,1294,MSI-OO,Mississippi,MSI,78,7,Northern America,USA,United States of America (the)
779,USA.MT,Montana,0,1295,MNT-OO,Montana,MNT,73,7,Northern America,USA,United States of America (the)
780,USA.NC,North Carolina,0,1296,NCA-OO,North Carolina,NCA,78,7,Northern America,USA,United States of America (the)
781,USA.ND,North Dakota,0,1297,NDA-OO,North Dakota,NDA,74,7,Northern America,USA,United States of America (the)
782,USA.NE,Nebraska,0,1298,NEB-OO,Nebraska,NEB,74,7,Northern America,USA,United States of America (the)
783,USA.NH,New Hampshire,0,1299,NWH-OO,New Hampshire,NWH,75,7,Northern America,USA,United States of America (the)
784,USA.NI,Navassa Island,1,1300,HAI-NI,Navassa I.,HAI,81,8,Southern America,UMI,United States Minor Outlying Islands (the)
785,USA.NJ,New Jersey,0,1301,NWJ-OO,New Jersey,NWJ,75,7,Northern America,USA,United States of America (the)
786,USA.NM,New Mexico,0,1302,NWM-OO,New Mexico,NWM,77,7,Northern America,USA,United States of America (the)
787,USA.NV,Nevada,0,1303,NEV-OO,Nevada,NEV,76,7,Northern America,USA,United States of America (the)
788,USA.NY,New York,0,1304,NWY-OO,New York,NWY,75,7,Northern America,USA,United States of America (the)
789,USA.OH,Ohio,0,1305,OHI-OO,Ohio,OHI,75,7,Northern America,USA,United States of America (the)
790,USA.OK,Oklahoma,0,1306,OKL-OO,Oklahoma,OKL,74,7,Northern America,USA,United States of America (the)
791,USA.OR,Oregon,0,1307,ORE-OO,Oregon,ORE,73,7,Northern America,USA,United States of America (the)
792,USA.PA,Pennsylvania,0,1308,PEN-OO,Pennsylvania,PEN,75,7,Northern America,USA,United States of America (the)
793,USA.RI,Rhode Island,0,1309,RHO-OO,Rhode I.,RHO,75,7,Northern America,USA,United States of America (the)
794,USA.SC,South Carolina,0,1310,SCA-OO,South Carolina,SCA,78,7,Northern America,USA,United States of America (the)
795,USA.SD,South Dakota,0,1311,SDA-OO,South Dakota,SDA,74,7,Northern America,USA,United States of America (the)
796,USA.TN,Tennessee,0,1312,TEN-OO,Tennessee,TEN,78,7,Northern America,USA,United States of America (the)
797,USA.TX,Texas,0,1313,TEX-OO,Texas,TEX,77,7,Northern America,USA,United States of America (the)
798,USA.UT,Utah,0,1314,UTA-OO,Utah,UTA,76,7,Northern America,USA,United States of America (the)
799,USA.VA,Virginia,0,1315,VRG-OO,Virginia,VRG,78,7,Northern America,USA,United States of America (the)
800,USA.VI,United States Virgin Islands,1,1316,LEE-VI,Virgin Is.,LEE,81,8,Southern America,VIR,Virgin Islands (U.S.)
801,USA.VT,Vermont,0,1317,VER-OO,Vermont,VER,75,7,Northern America,USA,United States of America (the)
802,USA.WA,Washington,0,1318,WAS-OO,Washington,WAS,73,7,Northern America,USA,United States of America (the)
803,USA.WI,Wisconsin,0,1319,WIS-OO,Wisconsin,WIS,74,7,Northern America,USA,United States of America (the)
804,USA.WV,West Virginia,0,1320,WVA-OO,West Virginia,WVA,75,7,Northern America,USA,United States of America (the)
805,USA.WY,Wyoming,0,1321,WYO-OO,Wyoming,WYO,73,7,Northern America,USA,United States of America (the)
806,VCT.GR,The Grenadines,1,1322,WIN-SV,St.Vincent,WIN,81,8,Southern America,VCT,Saint Vincent and the Grenadines
807,VCT.SV,Saint Vincent,1,1323,WIN-SV,St.Vincent,WIN,81,8,Southern America,VCT,Saint Vincent and the Grenadines
808,VEN,Venezuela,0,1324,VEN-OO,Venezuela,VEN,82,8,Southern America,VEN,Venezuela (Bolivarian Republic of)
809,VGB.AN,"Anegada, British Virgin Islands",1,1325,LEE-BV,British Virgin Is.,LEE,81,8,Southern America,VGB,Virgin Islands (British)
810,VGB.GI,"Guana Island, British Virgin Islands",1,1326,LEE-BV,British Virgin Is.,LEE,81,8,Southern America,VGB,Virgin Islands (British)
811,VGB.JD,"Jost van Dyke, British Virgin Islands",1,1327,LEE-BV,British Virgin Is.,LEE,81,8,Southern America,VGB,Virgin Islands (British)
812,VGB.TO,"Tortola, British Virgin Islands",1,1328,LEE-BV,British Virgin Is.,LEE,81,8,Southern America,VGB,Virgin Islands (British)
813,VGB.VG,"Virgin Gorda, British Virgin Islands",1,1329,LEE-BV,British Virgin Is.,LEE,81,8,Southern America,VGB,Virgin Islands (British)
814,WSM.FAU,Fanuatapu,1,1330,SAM-WS,Samoa,SAM,60,6,Pacific,WSM,Samoa
815,WSM.NAA,Namua,1,1331,SAM-WS,Samoa,SAM,60,6,Pacific,WSM,Samoa
816,WSM.NUA,Nuulua,1,1332,SAM-WS,Samoa,SAM,60,6,Pacific,WSM,Samoa
817,WSM.NUE,Nuutela,1,1333,SAM-WS,Samoa,SAM,60,6,Pacific,WSM,Samoa
818,YEM,Yemen,0,1334,000-07,Yemen,6,35,3,Asia-Temperate,YEM,Yemen
819,ZAF.EC,Eastern Cape,0,1335,CPP-EC,Eastern Cape Province,CPP,27,2,Africa,ZAF,South Africa
820,ZAF.FS,Orange Free State,0,1336,OFS-OO,Free State,OFS,27,2,Africa,ZAF,South Africa
821,ZAF.GA,Gauteng,0,1337,TVL-GA,Gauteng,TVL,27,2,Africa,ZAF,South Africa
822,ZAF.KZN,KwaZulu-Natal,0,1338,NAT-OO,KwaZulu-Natal,NAT,27,2,Africa,ZAF,South Africa
823,ZAF.LI,Limpopo,0,1339,TVL-NP,Northern Province,TVL,27,2,Africa,ZAF,South Africa
824,ZAF.MI,Marion Island,1,1340,MPE-OO,Marion-Prince Edward Is.,MPE,90,9,Antarctic,ZAF,South Africa
825,ZAF.MP,Mpumalanga,0,1341,TVL-MP,Mpumalanga,TVL,27,2,Africa,ZAF,South Africa
826,ZAF.NC,Northern Cape,0,1342,CPP-NC,Northern Cape Province,CPP,27,2,Africa,ZAF,South Africa
827,ZAF.NW,North West,0,1343,TVL-NW,North-West Province,TVL,27,2,Africa,ZAF,South Africa
828,ZAF.PEI,"Prince Edward Island, South Africa",1,1344,MPE-OO,Marion-Prince Edward Is.,MPE,90,9,Antarctic,ZAF,South Africa
829,ZAF.WC,Western Cape,0,1345,CPP-WC,Western Cape Province,CPP,27,2,Africa,ZAF,South Africa
830,ZMB.CE,Central,0,1346,ZAM-OO,Zambia,ZAM,26,2,Africa,ZMB,Zambia
831,ZMB.CO,Copperbelt,0,1347,ZAM-OO,Zambia,ZAM,26,2,Africa,ZMB,Zambia
