host,host_name,host_genus,host_authority,AtlanticCanada,CentralCanada,Florida,InlandWestUS,MidwestUS,NorthCentralUS,NortheastUS,NorthernNorthAmerica,NorthwestUS,SoutheastUS,SouthwestUS,WesternCanada
Betula lenta L.,Betula lenta,Betula,L.,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Betula nana L.,Betula nana,Betula,L.,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Betula nigra L.,Betula nigra,Betula,L.,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Betula occidentalis Hook.,Betula occidentalis,Betula,Hook.,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Betula papyrifera Marshall,Betula papyrifera,Betula,Marshall,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Betula populifolia Marshall,Betula populifolia,Betula,Marshall,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Betula pumila L.,Betula pumila,Betula,L.,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Bucida buceras L.,Bucida buceras,Bucida,L.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bursera simaruba (L.) Sarg.,Bursera simaruba,Bursera,(L.) Sarg.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Calliandra eriophylla Benth.,Calliandra eriophylla,Calliandra,Benth.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Callicarpa americana L.,Callicarpa americana,Callicarpa,L.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Callitropsis nootkatensis (D. Don) Oerst. ex D.P. Little,Callitropsis nootkatensis,Callitropsis,(D. Don) Oerst. ex D.P. Little,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Calocedrus decurrens (Torr.) Florin,Calocedrus decurrens,Calocedrus,(Torr.) Florin,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Calophyllum antillanum Britton,Calophyllum antillanum,Calophyllum,Britton,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Canella winterana (L.) Gaertn.,Canella winterana,Canella,(L.) Gaertn.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
